Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Agincourt,Lounge,Latin American Restaurant,Skating Rink,Breakfast Spot,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
"Alderwood, Long Branch",Pizza Place,Coffee Shop,Skating Rink,Dance Studio,Pharmacy,Pool,Pub,Sandwich Place,Gym,American Restaurant
"Bathurst Manor, Wilson Heights, Downsview North",Coffee Shop,Bank,Park,Fried Chicken Joint,Bridal Shop,Sandwich Place,Diner,Deli / Bodega,Restaurant,Ice Cream Shop
Bayview Village,Café,Bank,Chinese Restaurant,Japanese Restaurant,Women's Store,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
"Bedford Park, Lawrence Manor East",Coffee Shop,Sandwich Place,Italian Restaurant,Restaurant,Thai Restaurant,Juice Bar,Indian Restaurant,Butcher,Café,Pub
Berczy Park,Coffee Shop,Cocktail Bar,Restaurant,Bakery,Beer Bar,Cheese Shop,Café,Seafood Restaurant,Irish Pub,Beach
"Birch Cliff, Cliffside West",College Stadium,General Entertainment,Skating Rink,Café,Comic Shop,Concert Hall,Ethiopian Restaurant,Electronics Store,Colombian Restaurant,Eastern European Restaurant
"Brockton, Parkdale Village, Exhibition Place",Café,Coffee Shop,Breakfast Spot,Nightclub,Performing Arts Venue,Stadium,Burrito Place,Restaurant,Climbing Gym,Pet Store
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",Light Rail Station,Auto Workshop,Comic Shop,Park,Pizza Place,Recording Studio,Restaurant,Butcher,Burrito Place,Brewery
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",Airport Service,Airport Terminal,Airport Lounge,Boutique,Rental Car Location,Plane,Sculpture Garden,Boat or Ferry,Airport Food Court,Airport
Caledonia-Fairbanks,Park,Pool,Women's Store,Greek Restaurant,Event Space,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop,Doner Restaurant
Canada Post Gateway Processing Centre,Hotel,Coffee Shop,Gym,American Restaurant,Middle Eastern Restaurant,Intersection,Mediterranean Restaurant,Sandwich Place,Fried Chicken Joint,Burrito Place
Cedarbrae,Hakka Restaurant,Thai Restaurant,Bank,Fried Chicken Joint,Athletics & Sports,Caribbean Restaurant,Gas Station,Bakery,Doner Restaurant,Dog Run
Central Bay Street,Coffee Shop,Italian Restaurant,Café,Sandwich Place,Japanese Restaurant,Department Store,Salad Place,Bubble Tea Shop,Burger Joint,Restaurant
Christie,Grocery Store,Café,Park,Athletics & Sports,Diner,Italian Restaurant,Restaurant,Baby Store,Candy Store,Coffee Shop
Church and Wellesley,Coffee Shop,Sushi Restaurant,Japanese Restaurant,Gay Bar,Restaurant,Bubble Tea Shop,Burger Joint,Pub,Café,Men's Store
"Clarks Corners, Tam O'Shanter, Sullivan",Pizza Place,Fried Chicken Joint,Convenience Store,Rental Car Location,Italian Restaurant,Chinese Restaurant,Thai Restaurant,Bank,Gas Station,Noodle House
"Cliffside, Cliffcrest, Scarborough Village West",American Restaurant,Skating Rink,Motel,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Women's Store
"Commerce Court, Victoria Hotel",Coffee Shop,Café,Restaurant,Hotel,Gym,American Restaurant,Japanese Restaurant,Seafood Restaurant,Deli / Bodega,Italian Restaurant
Davisville,Pizza Place,Dessert Shop,Sandwich Place,Café,Italian Restaurant,Gym,Coffee Shop,Sushi Restaurant,Thai Restaurant,Pharmacy
Davisville North,Gym / Fitness Center,Hotel,Breakfast Spot,Food & Drink Shop,Sandwich Place,Department Store,Park,Pizza Place,Concert Hall,Dim Sum Restaurant
"Del Ray, Mount Dennis, Keelsdale and Silverthorn",Discount Store,Fast Food Restaurant,Restaurant,Fried Chicken Joint,Sandwich Place,Women's Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
Don Mills,Japanese Restaurant,Asian Restaurant,Gym,Restaurant,Beer Store,Coffee Shop,Café,Baseball Field,Caribbean Restaurant,Supermarket
"Dorset Park, Wexford Heights, Scarborough Town Centre",Indian Restaurant,Pet Store,Vietnamese Restaurant,Chinese Restaurant,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
Downsview,Grocery Store,Park,Snack Place,Athletics & Sports,Shopping Mall,Business Service,Food Truck,Discount Store,Baseball Field,Bank
"Dufferin, Dovercourt Village",Pharmacy,Bakery,Grocery Store,Supermarket,Café,Middle Eastern Restaurant,Portuguese Restaurant,Bar,Bank,Pet Store
"East Toronto, Broadview North (Old East York)",Convenience Store,Park,Coffee Shop,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",Pet Store,Coffee Shop,Café,Liquor Store,Shopping Plaza,Beer Store,Convenience Store,Pizza Place,Pharmacy,Drugstore
"Fairview, Henry Farm, Oriole",Clothing Store,Coffee Shop,Fast Food Restaurant,Restaurant,Bank,Bakery,Convenience Store,Japanese Restaurant,Food Court,Jewelry Store
"First Canadian Place, Underground city",Coffee Shop,Café,Japanese Restaurant,Restaurant,Gym,Hotel,Deli / Bodega,Asian Restaurant,American Restaurant,Steakhouse
"Forest Hill North & West, Forest Hill Road Park",Trail,Park,Sushi Restaurant,Jewelry Store,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
"Garden District, Ryerson",Clothing Store,Coffee Shop,Italian Restaurant,Café,Bubble Tea Shop,Japanese Restaurant,Middle Eastern Restaurant,Cosmetics Shop,Theater,Fast Food Restaurant
Glencairn,Sushi Restaurant,Japanese Restaurant,Pizza Place,Asian Restaurant,Pub,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
"Golden Mile, Clairlea, Oakridge",Bus Line,Bakery,Soccer Field,Ice Cream Shop,Metro Station,Bus Station,Intersection,Park,General Entertainment,Deli / Bodega
"Guildwood, Morningside, West Hill",Medical Center,Rental Car Location,Breakfast Spot,Electronics Store,Mexican Restaurant,Bank,Intersection,Dog Run,Discount Store,Distribution Center
